,geometry,section,year,floor,hall name
1382,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1962,2,"['Hall of South Asiatic Mammals', 'South Asiatic Mammals']"
1383,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1962,3,['Reptiles']
1384,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1962,4,"['Hall of Late Dinosaurs', 'Hall of Late Dinosaurs', 'Late Dinosaurs', 'Tyrannosaur Hall']"
1385,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1963,1,['Hall of the Biology of Invertebrates']
1386,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1964,1,"['Biology of Invertebrates', 'Hall of the Biology of Invertebrates', 'Hall of the Biology of Invertebrates']"
1387,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1964,2,"['Hall of South Asiatic Mammals', 'South Asiatic Mammals']"
1388,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1964,3,['Reptiles']
1389,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1964,4,"['Hall of Late Dinosaurs', 'Hall of Late Dinosaurs ', 'Late Dinosaurs']"
1390,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1965,1,"['Biology of Invertebrates', 'Hall of the Biology of Invertebrates']"
1391,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1965,3,['Amphibians and Reptiles']
1392,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1966,1,"['Biology of Invertebrates', 'Hall of the Biology of Invertebrates']"
1393,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1966,3,['Hall of Amphibians and Reptiles']
